legacy_area_id,legacy_area_title,new_mission_id,new_area_id,new_area_title,mapping_rule
g5_lq_t1_m01_a01,Parade Meadow,g5_lq_t1_m01,g5_lq_t1_m01_a01,Parade Meadow,content_merged_into_optimized_three_area_mission
g5_lq_t1_m01_a02,Banner Bridge,g5_lq_t1_m01,g5_lq_t1_m01_a01,Parade Meadow,content_merged_into_optimized_three_area_mission
g5_lq_t1_m01_a03,Drumbeat Lane,g5_lq_t1_m01,g5_lq_t1_m01_a02,Drumbeat Lane,content_merged_into_optimized_three_area_mission
g5_lq_t1_m01_a04,Lantern Plaza,g5_lq_t1_m01,g5_lq_t1_m01_a02,Drumbeat Lane,content_merged_into_optimized_three_area_mission
g5_lq_t1_m01_a05,Freedom Stage,g5_lq_t1_m01,g5_lq_t1_m01_a03,Freedom Stage,content_merged_into_optimized_three_area_mission
g5_lq_t1_m01_final_challenge,Former Final Challenge,g5_lq_t1_m01,g5_lq_t1_m01_a03,Freedom Stage,integrated_into_area_3
g5_lq_t1_m02_a01,Clock Gate,g5_lq_t1_m02,g5_lq_t1_m02_a01,Clock Gate,content_merged_into_optimized_three_area_mission
g5_lq_t1_m02_a02,Witness Garden,g5_lq_t1_m02,g5_lq_t1_m02_a01,Clock Gate,content_merged_into_optimized_three_area_mission
g5_lq_t1_m02_a03,Analogy Alley,g5_lq_t1_m02,g5_lq_t1_m02_a02,Analogy Alley,content_merged_into_optimized_three_area_mission
g5_lq_t1_m02_a04,Council Hall,g5_lq_t1_m02,g5_lq_t1_m02_a02,Analogy Alley,content_merged_into_optimized_three_area_mission
g5_lq_t1_m02_a05,Bell Tower,g5_lq_t1_m02,g5_lq_t1_m02_a03,Bell Tower,content_merged_into_optimized_three_area_mission
g5_lq_t1_m02_final_challenge,Former Final Challenge,g5_lq_t1_m02,g5_lq_t1_m02_a03,Bell Tower,integrated_into_area_3
g5_lq_t1_m03_a01,Echo Arcade,g5_lq_t1_m03,g5_lq_t1_m03_a01,Echo Arcade,content_merged_into_optimized_three_area_mission
g5_lq_t1_m03_a02,Alliteration Alley,g5_lq_t1_m03,g5_lq_t1_m03_a01,Echo Arcade,content_merged_into_optimized_three_area_mission
