grade_id,subject_id,term_id,mission_id,mission_title,mission_scene_name,area_id,area_number,area_title,phase,zone_root,legacy_sources
grade_5,subject_literaquest,term_1,g5_lq_t1_m01,The Festival Storybook Rescue,SCN_G5_LQ_T1_M01_TheFestivalStorybookRescue,g5_lq_t1_m01_a01,1,Story Square,discover_and_connect,ZONE_A01_StorySquare,g5_lq_t1_m01_a01|g5_lq_t1_m01_a02
grade_5,subject_literaquest,term_1,g5_lq_t1_m01,The Festival Storybook Rescue,SCN_G5_LQ_T1_M01_TheFestivalStorybookRescue,g5_lq_t1_m01_a02,2,Banner Market Lane,practice_and_apply,ZONE_A02_BannerMarketLane,g5_lq_t1_m01_a03|g5_lq_t1_m01_a04
grade_5,subject_literaquest,term_1,g5_lq_t1_m01,The Festival Storybook Rescue,SCN_G5_LQ_T1_M01_TheFestivalStorybookRescue,g5_lq_t1_m01_a03,3,Chronicle Courtyard,resolve_and_master,ZONE_A03_ChronicleCourtyard,g5_lq_t1_m01_a05
grade_5,subject_literaquest,term_1,g5_lq_t1_m02,The Bell of Seven Moments,SCN_G5_LQ_T1_M02_TheBellOfSevenMoments,g5_lq_t1_m02_a01,1,Clock Gate,discover_and_connect,ZONE_A01_ClockGate,g5_lq_t1_m02_a01|g5_lq_t1_m02_a02
grade_5,subject_literaquest,term_1,g5_lq_t1_m02,The Bell of Seven Moments,SCN_G5_LQ_T1_M02_TheBellOfSevenMoments,g5_lq_t1_m02_a02,2,Analogy Alley,practice_and_apply,ZONE_A02_AnalogyAlley,g5_lq_t1_m02_a03|g5_lq_t1_m02_a04
grade_5,subject_literaquest,term_1,g5_lq_t1_m02,The Bell of Seven Moments,SCN_G5_LQ_T1_M02_TheBellOfSevenMoments,g5_lq_t1_m02_a03,3,Bell Tower,resolve_and_master,ZONE_A03_BellTower,g5_lq_t1_m02_a05
grade_5,subject_literaquest,term_1,g5_lq_t1_m03,The Hall of Speaking Sounds,SCN_G5_LQ_T1_M03_TheHallOfSpeakingSounds,g5_lq_t1_m03_a01,1,Echo Arcade,discover_and_connect,ZONE_A01_EchoArcade,g5_lq_t1_m03_a01|g5_lq_t1_m03_a02
grade_5,subject_literaquest,term_1,g5_lq_t1_m03,The Hall of Speaking Sounds,SCN_G5_LQ_T1_M03_TheHallOfSpeakingSounds,g5_lq_t1_m03_a02,2,Figure Studio,practice_and_apply,ZONE_A02_FigureStudio,g5_lq_t1_m03_a03|g5_lq_t1_m03_a04
grade_5,subject_literaquest,term_1,g5_lq_t1_m03,The Hall of Speaking Sounds,SCN_G5_LQ_T1_M03_TheHallOfSpeakingSounds,g5_lq_t1_m03_a03,3,Cultural Gallery,resolve_and_master,ZONE_A03_CulturalGallery,g5_lq_t1_m03_a05
grade_5,subject_literaquest,term_1,g5_lq_t1_m04,The Newsroom of True Pages,SCN_G5_LQ_T1_M04_TheNewsroomOfTruePages,g5_lq_t1_m04_a01,1,Headline Dock,discover_and_connect,ZONE_A01_HeadlineDock,g5_lq_t1_m04_a01|g5_lq_t1_m04_a02
